"glacier_name","obs_start_date","obs_winter_end_date","obs_end_date","winter_mass_balance_mmwe","summer_mass_balance_mmwe","annual_mass_balance_mmwe","equilibrium_line_altitude_m","accumulation_area_ratio","glacier_area_m2","summer_mass_balance_mmwe_diff","annual_mass_balance_mmwe_diff","equilibrium_line_altitude_m_diff","accumulation_area_ratio_diff","glacier_area_m2_diff"
"Grosser Aletschgletscher",1914-10-01,1915-04-30,1915-09-30,1341,-1124,217,2815,70,91.815,NA,NA,NA,NA,NA
"Grosser Aletschgletscher",1915-10-01,1916-04-30,1916-09-30,1450,-679,771,2685,76,91.815,445,554,-130,6,0
"Grosser Aletschgletscher",1916-10-01,1917-04-30,1917-09-30,1247,-2051,-804,2975,59,91.815,-1372,-1575,290,-17,0
"Grosser Aletschgletscher",1917-10-01,1918-04-30,1918-09-30,1293,-989,304,2785,72,91.815,1062,1108,-190,13,0
"Grosser Aletschgletscher",1918-10-01,1919-04-30,1919-09-30,1736,-1260,476,2785,73,91.815,-271,172,0,1,0
"Grosser Aletschgletscher",1919-10-01,1920-04-30,1920-09-30,1560,-1666,-106,2865,66,91.815,-406,-582,80,-7,0
"Grosser Aletschgletscher",1920-09-27,1921-06-04,1921-09-28,82,-2248,-2166,3185,43,91.815,-582,-2060,320,-23,0
"Grosser Aletschgletscher",1921-10-22,1922-05-09,1922-08-25,1260,-1742,-482,2985,56,91.815,506,1684,-200,13,0
"Grosser Aletschgletscher",1922-10-01,1923-04-30,1923-09-30,823,-1917,-1094,3145,47,91.815,-175,-612,160,-9,0
"Grosser Aletschgletscher",1923-10-01,1924-04-30,1924-09-30,1262,-1374,-112,2865,66,91.815,543,982,-280,19,0
"Grosser Aletschgletscher",1924-10-01,1925-04-30,1925-09-30,758,-1201,-443,2915,63,91.815,173,-331,50,-3,0
"Grosser Aletschgletscher",1925-09-21,1926-05-24,1926-09-25,853,-920,-67,2865,66,91.815,281,376,-50,3,0
"Grosser Aletschgletscher",1926-09-25,1927-06-06,1927-09-20,1267,-1280,-13,2865,67,91.815,-360,54,0,1,0
"Grosser Aletschgletscher",1927-09-20,1928-05-04,1928-09-27,1337,-1969,-632,2995,57,91.815,-689,-619,130,-10,0
"Grosser Aletschgletscher",1928-09-27,1929-05-22,1929-10-10,2069,-2354,-285,2895,64,91.815,-385,347,-100,7,0
"Grosser Aletschgletscher",1929-09-30,1930-05-31,1930-10-03,1109,-1758,-649,2975,59,91.815,596,-364,80,-5,0
"Grosser Aletschgletscher",1930-10-03,1931-06-05,1931-10-06,864,-1200,-336,2915,63,91.815,558,313,-60,4,0
"Grosser Aletschgletscher",1931-10-06,1932-06-09,1932-10-14,1229,-1949,-720,2965,60,91.815,-749,-384,50,-3,0
"Grosser Aletschgletscher",1932-10-14,1933-05-01,1933-09-04,913,-1011,-98,2875,65,91.815,938,622,-90,5,0
"Grosser Aletschgletscher",1933-09-04,1934-06-08,1934-09-24,398,-2059,-1661,3055,54,91.815,-1048,-1563,180,-11,0
"Grosser Aletschgletscher",1934-10-01,1935-04-30,1935-09-30,1567,-2445,-878,2995,58,91.815,-386,783,-60,4,0
"Grosser Aletschgletscher",1935-10-01,1936-04-30,1936-09-30,1594,-1618,-24,2865,66,91.815,827,854,-130,8,0
"Grosser Aletschgletscher",1936-10-01,1937-04-30,1937-09-30,1466,-1911,-445,2955,61,91.815,-293,-421,90,-5,0
"Grosser Aletschgletscher",1937-10-01,1938-04-30,1938-09-30,895,-1454,-559,2955,61,91.815,457,-114,0,0,0
"Grosser Aletschgletscher",1938-10-01,1939-04-30,1939-09-30,828,-1196,-368,2905,64,91.815,258,191,-50,3,0
"Grosser Aletschgletscher",1939-09-16,1940-06-13,1940-09-15,1243,-329,914,2745,75,91.815,867,1282,-160,11,0
"Grosser Aletschgletscher",1940-10-14,1941-07-05,1941-09-20,530,-901,-371,2935,62,91.815,-572,-1285,190,-13,0
"Grosser Aletschgletscher",1941-09-20,1942-07-10,1942-09-15,138,-1103,-965,3065,54,87.48,-202,-594,130,-8,-4.33499999999999
"Grosser Aletschgletscher",1942-09-15,1943-06-29,1943-09-16,907,-1397,-490,2925,64,87.48,-294,475,-140,10,0
"Grosser Aletschgletscher",1943-09-16,1944-05-12,1944-09-10,1020,-1698,-678,2965,60,87.48,-301,-188,40,-4,0
"Grosser Aletschgletscher",1944-08-28,1945-07-20,1945-08-13,743,-591,152,2855,67,87.48,1107,830,-110,7,0
"Grosser Aletschgletscher",1945-09-12,1946-05-28,1946-09-09,1640,-1526,114,2855,67,87.48,-935,-38,0,0,0
"Grosser Aletschgletscher",1946-09-18,1947-05-17,1947-08-26,901,-2285,-1384,3155,48,87.48,-759,-1498,300,-19,0
"Grosser Aletschgletscher",1947-09-05,1948-05-22,1948-08-15,1675,-373,1302,2585,80,87.48,1912,2686,-570,32,0
"Grosser Aletschgletscher",1948-09-09,1949-05-27,1949-08-20,915,-1648,-733,2965,61,87.48,-1275,-2035,380,-19,0
"Grosser Aletschgletscher",1949-09-04,1950-05-20,1950-09-08,1106,-2756,-1650,3115,51,87.48,-1108,-917,150,-10,0
"Grosser Aletschgletscher",1950-09-12,1951-05-12,1951-09-09,1537,-1436,101,2855,67,87.48,1320,1751,-260,16,0
"Grosser Aletschgletscher",1951-09-18,1952-05-23,1952-09-20,1327,-1905,-578,2975,60,87.48,-469,-679,120,-7,0
"Grosser Aletschgletscher",1952-09-20,1953-05-08,1953-09-10,1400,-1344,56,2885,65,87.48,561,634,-90,5,0
"Grosser Aletschgletscher",1953-09-10,1954-05-24,1954-09-10,1003,-1268,-265,2835,69,87.48,76,-321,-50,4,0
"Grosser Aletschgletscher",1954-09-10,1955-06-03,1955-09-17,1269,-895,374,2815,70,87.48,373,639,-20,1,0
"Grosser Aletschgletscher",1955-09-17,1956-05-27,1956-09-15,1199,-1031,168,2865,67,87.48,-136,-206,50,-3,0
"Grosser Aletschgletscher",1956-09-20,1957-04-15,1957-10-09,944,-1237,-293,2935,62,87.48,-206,-461,70,-5,0
"Grosser Aletschgletscher",1957-10-03,1958-05-19,1958-09-10,1112,-1754,-642,2955,61,87.48,-517,-349,20,-1,0
"Grosser Aletschgletscher",1958-09-10,1959-06-09,1959-09-09,927,-1757,-830,3035,55,87.48,-3,-188,80,-6,0
"Grosser Aletschgletscher",1959-09-09,1960-06-18,1960-09-08,903,-1065,-162,2905,64,87.48,692,668,-130,9,0
"Grosser Aletschgletscher",1960-09-08,1961-05-06,1961-09-12,1446,-1497,-51,2855,66,87.48,-432,111,-50,2,0
"Grosser Aletschgletscher",1961-09-12,1962-05-10,1962-09-03,1620,-2287,-667,2975,59,87.48,-790,-616,120,-7,0
"Grosser Aletschgletscher",1962-09-03,1963-05-04,1963-09-10,1412,-1910,-498,2995,58,87.48,377,169,20,-1,0
"Grosser Aletschgletscher",1963-09-10,1964-05-30,1964-09-08,861,-2248,-1387,3125,50,87.48,-338,-889,130,-8,0
"Grosser Aletschgletscher",1964-09-08,1965-05-15,1965-10-06,1471,-999,472,2835,69,87.48,1249,1859,-290,19,0
"Grosser Aletschgletscher",1965-10-06,1966-05-16,1966-09-06,1302,-1033,269,2805,71,87.48,-34,-203,-30,2,0
"Grosser Aletschgletscher",1966-09-06,1967-05-24,1967-09-11,1659,-2116,-457,2975,60,87.48,-1083,-726,170,-11,0
"Grosser Aletschgletscher",1967-09-11,1968-06-16,1968-09-10,967,-1124,-157,2855,67,87.48,992,300,-120,7,0
"Grosser Aletschgletscher",1968-09-10,1969-05-13,1969-09-08,1369,-1311,58,2855,67,86.5575,-187,215,0,0,-0.922499999999999
"Grosser Aletschgletscher",1969-09-08,1970-06-10,1970-09-08,1484,-1884,-400,2925,63,86.5575,-573,-458,70,-4,0
"Grosser Aletschgletscher",1970-09-08,1971-05-15,1971-09-07,927,-1945,-1018,3085,53,86.5575,-61,-618,160,-10,0
"Grosser Aletschgletscher",1971-09-07,1972-05-20,1972-09-12,1075,-1607,-532,2955,61,86.5575,338,486,-130,8,0
"Grosser Aletschgletscher",1972-09-12,1973-05-06,1973-09-11,817,-1557,-740,3025,56,86.5575,50,-208,70,-5,0
"Grosser Aletschgletscher",1973-09-11,1974-05-18,1974-09-10,1125,-1413,-288,2895,65,86.5575,144,452,-130,9,0
"Grosser Aletschgletscher",1974-09-10,1975-05-19,1975-09-09,1555,-984,571,2825,70,86.5575,429,859,-70,5,0
"Grosser Aletschgletscher",1975-09-09,1976-06-14,1976-09-05,610,-1436,-826,3025,57,86.5575,-452,-1397,200,-13,0
"Grosser Aletschgletscher",1976-09-05,1977-05-24,1977-09-03,1537,-952,585,2795,72,86.5575,484,1411,-230,15,0
"Grosser Aletschgletscher",1977-09-03,1978-06-06,1978-09-05,1756,-848,908,2755,75,86.5575,104,323,-40,3,0
"Grosser Aletschgletscher",1978-09-05,1979-05-10,1979-09-11,1280,-1614,-334,2945,62,86.5575,-766,-1242,190,-13,0
"Grosser Aletschgletscher",1979-09-11,1980-05-14,1980-09-16,1728,-1014,714,2775,73,86.5575,600,1048,-170,11,0
"Grosser Aletschgletscher",1980-09-16,1981-06-09,1981-09-15,1205,-1259,-54,2885,66,86.5575,-245,-768,110,-7,0
"Grosser Aletschgletscher",1981-09-15,1982-06-09,1982-09-21,1032,-991,41,2855,67,86.5575,268,95,-30,1,0
"Grosser Aletschgletscher",1982-09-21,1983-05-27,1983-09-20,1823,-1703,120,2935,63,86.5575,-712,79,80,-4,0
"Grosser Aletschgletscher",1983-09-20,1984-06-11,1984-10-18,1330,-866,464,2835,69,86.5575,837,344,-100,6,0
"Grosser Aletschgletscher",1984-09-21,1985-06-21,1985-09-30,1303,-1379,-76,2925,64,86.5575,-513,-540,90,-5,0
"Grosser Aletschgletscher",1985-09-29,1986-06-19,1986-09-30,1263,-1945,-682,3035,56,86.5575,-566,-606,110,-8,0
"Grosser Aletschgletscher",1986-09-28,1987-06-21,1987-09-28,1780,-1780,0,2865,67,86.5575,165,682,-170,11,0
"Grosser Aletschgletscher",1987-10-10,1988-06-11,1988-10-04,1148,-1766,-618,2935,63,86.5575,14,-618,70,-4,0
"Grosser Aletschgletscher",1988-10-05,1989-05-31,1989-10-05,1057,-1301,-244,2885,66,86.5575,465,374,-50,3,0
"Grosser Aletschgletscher",1989-10-06,1990-05-11,1990-10-11,782,-1787,-1005,2985,59,83.02,-486,-761,100,-7,-3.53750000000001
"Grosser Aletschgletscher",1990-10-12,1991-06-17,1991-09-25,1105,-2272,-1167,3075,54,83.02,-485,-162,90,-5,0
"Grosser Aletschgletscher",1991-10-09,1992-05-23,1992-10-08,512,-2023,-1511,3095,52,83.02,249,-344,20,-2,0
"Grosser Aletschgletscher",1992-10-01,1993-04-30,1993-09-30,1371,-1440,-69,2855,67,83.02,583,1442,-240,15,0
"Grosser Aletschgletscher",1993-10-01,1994-04-30,1994-09-30,1215,-2258,-1043,3065,54,83.02,-818,-974,210,-13,0
"Grosser Aletschgletscher",1994-10-01,1995-04-30,1995-09-30,1534,-2179,-645,2975,60,83.02,79,398,-90,6,0
"Grosser Aletschgletscher",1995-10-12,1996-04-30,1996-10-11,715,-1482,-767,2985,59,83.02,697,-122,10,-1,0
"Grosser Aletschgletscher",1996-10-11,1997-05-17,1997-10-09,1118,-2006,-888,2965,61,83.02,-524,-121,-20,2,0
"Grosser Aletschgletscher",1997-10-09,1998-06-13,1998-10-05,773,-1845,-1072,3045,56,83.02,161,-184,80,-5,0
"Grosser Aletschgletscher",1998-10-05,1999-06-03,1999-10-12,571,-1656,-1085,3045,56,83.02,189,-13,0,0,0
"Grosser Aletschgletscher",1999-10-12,2000-02-12,2000-10-07,949,-1545,-596,2945,62,83.02,111,489,-100,6,0
"Grosser Aletschgletscher",2000-10-07,2001-04-30,2001-10-12,1429,-2167,-738,2955,61,83.02,-622,-142,10,-1,0
"Grosser Aletschgletscher",2001-10-12,2002-06-07,2002-10-10,854,-1365,-511,2915,65,83.02,802,227,-40,4,0
"Grosser Aletschgletscher",2002-10-10,2003-05-12,2003-10-14,1096,-3105,-2009,3195,45,83.02,-1740,-1498,280,-20,0
"Grosser Aletschgletscher",2003-10-14,2004-04-21,2004-10-13,1020,-1575,-555,2925,64,83.02,1530,1454,-270,19,0
"Grosser Aletschgletscher",2004-10-13,2005-05-26,2005-10-11,1649,-2481,-832,2935,63,79.0975,-906,-277,10,-1,-3.9225
"Grosser Aletschgletscher",2005-10-11,2006-05-17,2006-10-11,1308,-3052,-1744,3065,55,79.0975,-571,-912,130,-8,0
"Grosser Aletschgletscher",2006-10-11,2007-04-15,2007-10-16,1317,-2473,-1156,2995,58,79.0975,579,588,-70,3,0
"Grosser Aletschgletscher",2007-10-16,2008-06-01,2008-10-14,1636,-3126,-1490,3085,53,79.0975,-653,-334,90,-5,0
"Grosser Aletschgletscher",2008-10-14,2009-05-05,2009-10-13,2100,-3816,-1716,3085,53,79.0975,-690,-226,0,0,0
"Grosser Aletschgletscher",2009-10-13,2010-05-29,2010-10-15,1757,-2739,-982,2975,60,79.0975,1077,734,-110,7,0
"Grosser Aletschgletscher",2010-10-15,2011-05-18,2011-10-13,1361,-3085,-1724,3075,55,79.0975,-346,-742,100,-5,0
"Grosser Aletschgletscher",2011-10-13,2012-05-30,2012-10-06,1461,-3387,-1926,3105,52,79.0975,-302,-202,30,-3,0
"Grosser Aletschgletscher",2012-10-06,2013-05-14,2013-10-18,1932,-2570,-638,2915,63,79.0975,817,1288,-190,11,0
"Grosser Aletschgletscher",2013-10-18,2014-06-03,2014-10-17,1252,-1757,-505,2895,65,78.5325,813,133,-20,2,-0.564999999999998
"Grosser Aletschgletscher",2014-10-17,2015-05-18,2015-10-14,1602,-3312,-1710,3055,56,78.5325,-1555,-1205,160,-9,0
"Grosser Aletschgletscher",2015-10-14,2016-05-18,2016-10-13,2057,-2836,-779,2945,62,78.5325,476,931,-110,6,0
"Grosser Aletschgletscher",2016-10-13,2017-05-16,2017-10-05,1492,-3709,-2217,3165,49,78.5325,-873,-1438,220,-13,0
"Grosser Aletschgletscher",2017-10-05,2018-06-06,2018-10-19,1311,-2661,-1350,3175,48,78.5325,1048,867,10,-1,0
"Grosser Aletschgletscher",2018-09-27,2019-06-04,2019-10-03,1209,-2930,-1721,3175,47,77.9825,-269,-371,0,-1,-0.549999999999997
"Grosser Aletschgletscher",2019-10-03,2020-05-29,2020-09-18,738,-1903,-1165,3105,51,78.5325,1027,556,-70,4,0.549999999999997
"Grosser Aletschgletscher",2020-09-18,2021-04-19,2021-09-24,1480,-1594,-114,2965,61,77.9825,309,1051,-140,10,-0.549999999999997
"Grosser Aletschgletscher",2021-09-24,2022-03-28,2022-09-21,918,-3959,-3041,3785,11,75.4875,-2365,-2927,820,-50,-2.495
"Grosser Aletschgletscher",2022-09-21,2023-05-26,2023-09-20,1211,-2787,-1576,3235,44,77.9825,1172,1465,-550,33,2.495
"Grosser Aletschgletscher",2023-09-20,2024-04-04,2024-09-19,1709,-3020,-1311,3245,43,75.8125,-233,265,10,-1,-2.17
