"year_month","observed","trend","seasonal","deterministic","stochastic"
Jan 1933,-16.9,-8.10205935107817,-6.5569687948776,-14.6590281459558,-2.24097185404423
Feb 1933,-15.2,-8.10182136311863,-6.389843136261,-14.4916644993796,-0.708335500620372
Mar 1933,-12.4,-8.10158337515909,-4.6442879463899,-12.745871321549,0.345871321548989
Apr 1933,-9.7,-8.10134538719955,-2.14170696611019,-10.2430523533097,0.543052353309742
May 1933,-8.3,-8.10110739924001,1.47302637869284,-6.62808102054717,-1.67191897945283
Jun 1933,-5.1,-8.10086941128047,4.98472698320395,-3.11614242807652,-1.98385757192348
Jul 1933,0.5,-8.10063142332093,7.1197697826807,-0.980861640640228,1.48086164064023
Aug 1933,0.3,-8.10039343536139,7.04213649333437,-1.05825694202702,1.35825694202702
Sep 1933,-2.6,-8.10015544740185,5.36067619101496,-2.73947925638689,0.139479256386891
Oct 1933,-7.2,-8.09991745944231,1.57551707102682,-6.52440038841549,-0.675599611584514
Nov 1933,-13.4,-8.09967947148277,-2.40104069034274,-10.5007201618255,-2.89927983817449
Dec 1933,-14.2,-8.09944148352323,-5.4123592642726,-13.5118007477958,-0.688199252204171
Jan 1934,-14,-8.09920349556369,-6.55696328151003,-14.6561667770737,0.656166777073711
Feb 1934,-11.4,-8.09896550760415,-6.39937904809563,-14.4983445556998,3.09834455569977
Mar 1934,-13.3,-8.0987275196446,-4.6423600418827,-12.7410875615273,-0.558912438472696
Apr 1934,-8.9,-8.09848953168506,-2.14352955951538,-10.2420190912004,1.34201909120044
May 1934,-4.3,-8.09825154372552,1.47319405101381,-6.62505749271171,2.32505749271172
Jun 1934,-2.5,-8.09801355576598,4.98120507296257,-3.11680848280342,0.616808482803416
Jul 1934,0,-8.09777556780644,7.11771483658474,-0.980060731221704,0.980060731221704
Aug 1934,-1,-8.0975375798469,7.03892756227874,-1.05861001756816,0.0586100175681628
Sep 1934,-1.7,-8.09729959188736,5.36053632846739,-2.73676326341997,1.03676326341997
Oct 1934,-6.2,-8.09706160392782,1.58203237142319,-6.51502923250463,0.315029232504634
Nov 1934,-10.5,-8.09682361596828,-2.39734800031402,-10.4941716162823,-0.00582838371769867
Dec 1934,-10.4,-8.09658562800874,-5.40369207753798,-13.5002777055467,3.10027770554672
Jan 1935,-16.9,-8.0963476400492,-6.55704403037389,-14.6533916704231,-2.24660832957691
Feb 1935,-15.1,-8.09610965208966,-6.4090004325623,-14.505110084652,-0.594889915348036
Mar 1935,-14.5,-8.09587166413012,-4.64051682040816,-12.7363884845383,-1.76361151546171
Apr 1935,-12.6,-8.09563367617058,-2.14543119732272,-10.2410648734933,-2.3589351265067
May 1935,-7.8,-8.09539568821104,1.47328831756312,-6.62210737064792,-1.17789262935208
Jun 1935,-1.5,-8.0951577002515,4.97761698805016,-3.11754071220134,1.61754071220134
Jul 1935,-0.6,-8.09491971229196,7.11560094691838,-0.97931876537358,0.37931876537358
Aug 1935,-1.7,-8.09468172433242,7.03567028466584,-1.05901143966659,-0.640988560333414
Sep 1935,-2,-8.09444373637288,5.36035871637568,-2.73408501999719,0.734085019997194
Oct 1935,-6.9,-8.09420574841334,1.58851933345927,-6.50568641495407,-0.394313585045931
Nov 1935,-10.3,-8.0939677604538,-2.39367423746172,-10.4876419979155,0.187641997915522
Dec 1935,-15.2,-8.09372977249426,-5.39503761215349,-13.4887673846477,-1.71123261535225
Jan 1936,-12.2,-8.09349178453472,-6.55713129476159,-14.6506230792963,2.45062307929631
Feb 1936,-14.5,-8.09325379657518,-6.41862562508742,-14.5118794216626,0.0118794216626004
Mar 1936,-12.1,-8.09301580861564,-4.63867469952667,-12.7316905081423,0.631690508142308
Apr 1936,-10.9,-8.0927778206561,-2.14733340252748,-10.2401112231836,-0.65988877681642
May 1936,-5.3,-8.09253983269656,1.47338254991064,-6.61915728278592,1.31915728278592
Jun 1936,-3.7,-8.09230184473702,4.97402888603685,-3.11827295870017,-0.581727041299832
Jul 1936,-1.6,-8.09206385677748,7.11348705725202,-0.978576799525457,-0.621423200474543
Aug 1936,-0.9,-8.09182586881794,7.03241281010532,-1.05941305871261,0.159413058712614
Sep 1936,-3.9,-8.0915878808584,5.36018071038876,-2.73140717046964,-1.16859282953036
Oct 1936,-9.2,-8.09134989289886,1.59500440201541,-6.49634549088345,-2.70365450911655
Nov 1936,-11.7,-8.09111190493932,-2.3900038676741,-10.4811157726134,-1.21888422738659
Dec 1936,-11.9,-8.09087391697978,-5.3863890864444,-13.4772630034242,1.57726300342418
Jan 1937,-11.9,-8.09063592902024,-6.55722704543543,-14.6478629744557,2.74786297445567
Feb 1937,-13.7,-8.0903979410607,-6.4282590249361,-14.5186569659968,0.818656965996801
Mar 1937,-14.5,-8.09015995310116,-4.63684050700617,-12.7270004601073,-1.77299953989267
Apr 1937,-11.6,-8.08992196514161,-2.14923600248655,-10.2391579676282,-1.36084203237184
May 1937,-5.7,-8.08968397718207,1.47348392111055,-6.61620005607153,0.916200056071525
Jun 1937,-3.1,-8.08944598922253,4.97046605216359,-3.11897993705894,0.0189799370589392
Jul 1937,-0.7,-8.08920800126299,7.11141656501337,-0.97779143624962,0.27779143624962
Aug 1937,-1.8,-8.08897001330345,7.02922409152698,-1.05974592177647,-0.740254078223528
Sep 1937,-4.7,-8.08873202534391,5.36009681893847,-2.72863520640545,-1.97136479359455
Oct 1937,-6.6,-8.08849403738437,1.6016094236572,-6.48688461372717,-0.113115386272825
Nov 1937,-10.8,-8.08825604942483,-2.3861877062518,-10.4744437556766,-0.325556244323366
Dec 1937,-15.6,-8.08801806146529,-5.37757431154018,-13.4655923730055,-2.13440762699453
Jan 1938,-14.6,-8.08778007350575,-6.55499569369201,-14.6427757671978,0.0427757671977584
Feb 1938,-14.4,-8.08754208554621,-6.43829201152101,-14.5258340970672,0.125834097067221
Mar 1938,-9.8,-8.08730409758667,-4.63553629817481,-12.7228403957615,2.92284039576148
Apr 1938,-14.3,-8.08706610962713,-2.15428484192214,-10.2413509515493,-4.05864904845073
May 1938,-8.1,-8.08682812166759,1.4728593207022,-6.61396880096539,-1.48603119903461
Jun 1938,-1.2,-8.08659013370805,4.96791577778293,-3.11867435592512,1.91867435592512
