The data of the Swiss Glacier Monitoring Network (GLAMOS) are freely available (https://www.glamos.ch) and may be used with indication of the source for scientific and non-commercial use.;;;;;;;;;;;;;;;;
When using these data; please cite as:;;;;;;;;;;;;;;;
GLAMOS (2024). Swiss Glacier Mass Balance; release 2024; Glacier Monitoring Switzerland; doi:10.18750/massbalance.2024.r2024.;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
SWISS GLACIER MASS BALANCE (OBSERVATION PERIOD);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
glacier name;glacier id;start date of observation;end date of winter observation;end date of observation;winter mass balance;summer mass balance;annual mass balance;equilibrium line altitude;accumulation area ratio;glacier area;minimum elevation of glacier;maximum elevation of glacier;observer;;;
;(according to Swiss Glacier Inventory);date_start;date_end_winter;date_end;Bw;Bs;Ba;ELA;AAR;area;h_min;h_max;;;;
;;yyyy-mm-dd (ISO 8601);yyyy-mm-dd (ISO 8601);yyyy-mm-dd (ISO 8601);mm w.e.;mm w.e.;mm w.e.;m asl.;%;km2;m asl.;m asl.;;;;
Silvrettagletscher;A10g-05;01.10.1914;30.04.1915;30.09.1915;1445;-1860;-415;2795;45;4.06687;2406;3185; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;29.09.1915;15.05.1916;05.08.1916;1519;-683;836;2515;93;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;05.08.1916;11.03.1917;07.09.1917;1878;-1603;275;2675;69;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;29.09.1917;26.03.1918;16.08.1918;1025;-712;313;2675;72;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;16.08.1918;18.05.1919;07.09.1919;2097;-1096;1001;2535;93;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;08.09.1919;26.04.1920;08.09.1920;2496;-2190;306;2675;70;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;11.09.1920;28.03.1921;25.09.1921;782;-3325;-2543;3128;0;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;25.09.1921;04.04.1922;18.10.1922;1213;-812;401;2605;80;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;18.10.1922;30.04.1923;29.09.1923;1452;-1242;210;2665;73;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;29.09.1923;22.04.1924;08.10.1924;1328;-740;588;2595;85;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;08.10.1924;11.04.1925;17.09.1925;902;-522;380;2605;81;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;19.09.1925;02.05.1926;11.09.1926;1317;-653;664;2565;90;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;11.09.1926;19.04.1927;10.10.1927;2296;-1768;528;2665;72;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;10.10.1927;21.02.1928;10.08.1928;959;-1759;-800;3091;1;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;14.09.1928;26.05.1929;25.09.1929;1439;-2711;-1272;2915;12;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;19.09.1929;26.04.1930;04.09.1930;1181;-1242;-61;2795;46;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;04.09.1930;20.05.1931;26.09.1931;1882;-1174;708;2595;85;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;26.09.1931;20.04.1932;23.09.1932;1133;-1991;-858;3074;4;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;23.09.1932;21.05.1933;26.09.1933;1575;-1097;478;2605;83;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;19.09.1933;14.05.1934;25.08.1934;1106;-1347;-241;2805;42;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;25.09.1934;27.04.1935;14.09.1935;2258;-1786;472;2595;83;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;14.09.1935;09.05.1936;24.09.1936;1816;-1393;423;2645;75;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;24.09.1936;19.02.1937;05.10.1937;1388;-908;480;2595;83;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;19.09.1937;16.04.1938;15.09.1938;962;-976;-14;2715;65;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;15.09.1938;11.03.1939;12.09.1939;1129;-1367;-238;2765;48;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;19.09.1939;20.05.1940;20.09.1940;1593;-637;956;2535;92;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;19.09.1940;25.05.1941;20.09.1941;1770;-1645;125;2695;68;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;19.09.1941;20.05.1942;19.09.1942;1246;-2235;-989;2895;13;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;19.09.1942;09.05.1943;25.09.1943;1580;-1778;-198;2755;54;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;19.09.1943;29.04.1944;30.09.1944;1905;-2042;-137;2755;54;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;01.10.1944;30.04.1945;30.09.1945;2132;-3207;-1075;2895;15;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;19.09.1945;14.04.1946;25.09.1946;1398;-1572;-174;2805;43;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;19.09.1946;18.02.1947;19.09.1947;1052;-4141;-3089;3222;0;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
Silvrettagletscher;A10g-05;19.09.1947;18.04.1948;22.09.1948;2263;-998;1265;2475;97;3.55563;2414;3091; VAW / ETH Zuerich; Huss et al  2015; Journal of Glaciology;
