station_abbr;reference_timestamp;ths2dymn;ths2dymx;ths200m0;th9120mv;th91dnmv;th91dxmv;ths00nm0;pva2hsm0;ths25xm0;pv9120mv;ths00xm0;ths20nm0;thl200mx;phsstam0;thl200mn;ph9120mv;ths30xm0;xhs000m0;fhs010m0;fh9120mv;rhs001m0;ths35xm0;rhs150m0;rh9120mv;ghs000m0;gh9120mv;shs000m0;sh9120mv;xhs00om0;xhs012m0
JUN;01.01.1933 00:00;;;-16.9;-4.4;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.02.1933 00:00;;;-15.2;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.03.1933 00:00;;;-12.4;-0.8;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.04.1933 00:00;;;-9.7;-0.3;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.05.1933 00:00;;;-8.3;-3.1;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.06.1933 00:00;;;-5.1;-3.6;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.07.1933 00:00;;;0.5;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.08.1933 00:00;;;0.3;-0.3;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.09.1933 00:00;;;-2.6;-0.2;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.10.1933 00:00;;;-7.2;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.11.1933 00:00;;;-13.4;-4.2;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.12.1933 00:00;;;-14.2;-2.5;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1934 00:00;;;-14;-1.5;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.02.1934 00:00;;;-11.4;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.03.1934 00:00;;;-13.3;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.04.1934 00:00;;;-8.9;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.05.1934 00:00;;;-4.3;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.06.1934 00:00;;;-2.5;-1;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.07.1934 00:00;;;0;-0.4;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.08.1934 00:00;;;-1;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.09.1934 00:00;;;-1.7;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.10.1934 00:00;;;-6.2;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.11.1934 00:00;;;-10.5;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.12.1934 00:00;;;-10.4;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1935 00:00;;;-16.9;-4.4;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.02.1935 00:00;;;-15.1;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.03.1935 00:00;;;-14.5;-2.9;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.04.1935 00:00;;;-12.6;-3.2;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.05.1935 00:00;;;-7.8;-2.6;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.06.1935 00:00;;;-1.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.07.1935 00:00;;;-0.6;-1;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.08.1935 00:00;;;-1.7;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.09.1935 00:00;;;-2;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.10.1935 00:00;;;-6.9;-2;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.11.1935 00:00;;;-10.3;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.12.1935 00:00;;;-15.2;-3.5;;;;;;;;;;;;;;;;;;;;;;;;;;
