station_abbr;reference_timestamp;rhs150m0;rh9120mv;rhs001m0
BRI;01.01.1961 00:00;42.1;62;9
BRI;01.02.1961 00:00;105.6;221;9
BRI;01.03.1961 00:00;5.4;11;2
BRI;01.04.1961 00:00;72.3;134;5
BRI;01.05.1961 00:00;35.9;50;7
BRI;01.06.1961 00:00;49.3;84;6
BRI;01.07.1961 00:00;36.5;71;6
BRI;01.08.1961 00:00;18.8;33;4
BRI;01.09.1961 00:00;9.9;23;4
BRI;01.10.1961 00:00;70;112;4
BRI;01.11.1961 00:00;48.6;61;7
BRI;01.12.1961 00:00;103.1;141;7
BRI;01.01.1962 00:00;101.8;151;8
BRI;01.02.1962 00:00;72.8;153;8
BRI;01.03.1962 00:00;53.8;109;7
BRI;01.04.1962 00:00;48.1;89;5
BRI;01.05.1962 00:00;20.2;28;6
BRI;01.06.1962 00:00;3.7;6;1
BRI;01.07.1962 00:00;20.3;39;4
BRI;01.08.1962 00:00;7.6;13;2
BRI;01.09.1962 00:00;9.3;22;3
BRI;01.10.1962 00:00;8.1;13;3
BRI;01.11.1962 00:00;154.3;194;6
BRI;01.12.1962 00:00;123.6;169;8
BRI;01.01.1963 00:00;30.1;45;6
BRI;01.02.1963 00:00;14;29;3
BRI;01.03.1963 00:00;92.3;187;11
BRI;01.04.1963 00:00;52.4;97;7
BRI;01.05.1963 00:00;43.8;60;6
BRI;01.06.1963 00:00;58.5;100;9
BRI;01.07.1963 00:00;30.8;60;8
BRI;01.08.1963 00:00;57.8;102;10
BRI;01.09.1963 00:00;40.8;95;4
BRI;01.10.1963 00:00;54.3;87;3
BRI;01.11.1963 00:00;98.3;124;11
BRI;01.12.1963 00:00;1.1;2;0
BRI;01.01.1964 00:00;3.7;5;2
BRI;01.02.1964 00:00;3.5;7;1
BRI;01.03.1964 00:00;55.6;113;8
BRI;01.04.1964 00:00;99.5;185;9
BRI;01.05.1964 00:00;36.8;51;6
BRI;01.06.1964 00:00;59.7;102;4
BRI;01.07.1964 00:00;11.5;22;2
BRI;01.08.1964 00:00;57.4;101;7
BRI;01.09.1964 00:00;28;65;3
BRI;01.10.1964 00:00;29.2;47;8
BRI;01.11.1964 00:00;67.4;85;7
BRI;01.12.1964 00:00;42.1;58;6
BRI;01.01.1965 00:00;34.3;51;7
BRI;01.02.1965 00:00;7.4;16;2
BRI;01.03.1965 00:00;75.1;152;5
BRI;01.04.1965 00:00;65;121;5
BRI;01.05.1965 00:00;58.2;80;7
BRI;01.06.1965 00:00;63;107;7
BRI;01.07.1965 00:00;93.9;183;12
BRI;01.08.1965 00:00;95.5;168;10
BRI;01.09.1965 00:00;137.4;321;12
BRI;01.10.1965 00:00;1.8;3;1
BRI;01.11.1965 00:00;91.4;115;13
BRI;01.12.1965 00:00;175.3;240;17
BRI;01.01.1966 00:00;44.7;66;7
BRI;01.02.1966 00:00;121.1;254;10
BRI;01.03.1966 00:00;42.7;87;6
BRI;01.04.1966 00:00;75.9;141;8
BRI;01.05.1966 00:00;13.4;18;2
BRI;01.06.1966 00:00;16.8;29;4
BRI;01.07.1966 00:00;50.3;98;6
BRI;01.08.1966 00:00;46.2;81;9
BRI;01.09.1966 00:00;5.1;12;1
BRI;01.10.1966 00:00;123;197;10
BRI;01.11.1966 00:00;90;113;9
BRI;01.12.1966 00:00;92.2;126;11
BRI;01.01.1967 00:00;25.6;38;5
BRI;01.02.1967 00:00;80.2;168;6
BRI;01.03.1967 00:00;65.9;134;8
BRI;01.04.1967 00:00;11.5;21;5
BRI;01.05.1967 00:00;86.5;119;11
BRI;01.06.1967 00:00;14;24;4
BRI;01.07.1967 00:00;36.1;70;7
